replicate,K,placebo,placebo_minus_real_mae,placebo_minus_direct_mae,share_months_real_better,share_months_placebo_beats_direct
17,5,ObservedBrandAggregate,-1.9573448668012428,-22.004283620799118,0.49019607843137253,0.5490196078431373
17,8,ObservedBrandAggregate,12.478512778203653,-7.797464978418746,0.5294117647058824,0.6078431372549019
17,10,ObservedBrandAggregate,0.9523531608831791,-10.575239656205598,0.47058823529411764,0.5490196078431373
17,12,ObservedBrandAggregate,-5.463870770226484,-10.565776704377377,0.35294117647058826,0.6470588235294118
17,14,ObservedBrandAggregate,-1.8427646533592685,-7.4309106553583675,0.37254901960784315,0.6470588235294118
18,5,ObservedBrandAggregate,-13.330908270805542,-33.37784702480342,0.47058823529411764,0.6078431372549019
18,8,ObservedBrandAggregate,10.68673855139916,-9.589239205223238,0.6078431372549019,0.5294117647058824
18,10,ObservedBrandAggregate,6.965153898943694,-4.562438918145084,0.5098039215686274,0.4117647058823529
18,12,ObservedBrandAggregate,-6.138407725306452,-11.240313659457343,0.39215686274509803,0.6078431372549019
18,14,ObservedBrandAggregate,2.431610778755444,-3.1565352232436537,0.5490196078431373,0.5490196078431373
19,5,ObservedBrandAggregate,0.4547850545278874,-19.592153699469982,0.5098039215686274,0.45098039215686275
19,8,ObservedBrandAggregate,12.083544212978891,-8.192433543643505,0.5294117647058824,0.5294117647058824
19,10,ObservedBrandAggregate,4.329079991044762,-7.198512826044017,0.5490196078431373,0.49019607843137253
19,12,ObservedBrandAggregate,-4.504574501084717,-9.60648043523561,0.39215686274509803,0.5882352941176471
19,14,ObservedBrandAggregate,1.0092540769296119,-4.578891925069486,0.47058823529411764,0.5294117647058824
