replicate,K,placebo,date,real_mae,placebo_mae,direct_mae
9,12,ObservedBrandAggregate,2025-03-01,146.03227345229598,161.2313850722948,169.03171669759223
9,12,ObservedBrandAggregate,2025-04-01,190.8406452955871,192.19524214247727,193.4056951502091
9,12,ObservedBrandAggregate,2025-05-01,309.31680903471346,315.62045755144567,294.35283237914183
9,12,ObservedBrandAggregate,2025-06-01,377.4198278157071,413.2172140522266,401.7308325793792
9,12,ObservedBrandAggregate,2025-07-01,187.98554214022704,164.59925352949816,163.10834085131222
9,12,ObservedBrandAggregate,2025-08-01,246.86171562116394,202.6274910911853,221.35216601579373
9,12,ObservedBrandAggregate,2025-09-01,338.6380020984682,273.8894021568009,349.9005937581581
9,12,ObservedBrandAggregate,2025-10-01,207.89362406712402,234.4131654786096,205.063478397005
9,12,ObservedBrandAggregate,2025-11-01,594.1002216534026,577.9911834375331,556.2728544794114
9,12,ObservedBrandAggregate,2025-12-01,1169.6074953831273,1118.3595443565853,1169.589120718281
9,12,ObservedBrandAggregate,2026-01-01,604.5500715188051,583.1805229742826,595.1979765644566
9,12,ObservedBrandAggregate,2026-02-01,233.22844442161454,259.57728891558355,271.22209179411874
9,12,ObservedBrandAggregate,2026-03-01,461.279148872126,434.5416506057849,432.82656135541265
9,14,ObservedBrandAggregate,2022-01-01,277.3409019684625,281.1425185103229,281.77735830276134
9,14,ObservedBrandAggregate,2022-02-01,200.30138433319976,198.38310709947197,185.09695408629236
9,14,ObservedBrandAggregate,2022-03-01,508.79656086020293,495.68419546281297,513.2571724314032
9,14,ObservedBrandAggregate,2022-04-01,133.66492846676678,143.23760362808747,134.1161115362398
9,14,ObservedBrandAggregate,2022-05-01,186.3875239318375,175.29395326681257,191.2637692383058
9,14,ObservedBrandAggregate,2022-06-01,336.8006096571639,352.50048030250736,365.1707978383741
9,14,ObservedBrandAggregate,2022-07-01,261.31221319323873,249.70785673409551,251.38598517915483
9,14,ObservedBrandAggregate,2022-08-01,223.94880685375077,226.72039512811054,248.31288232915475
9,14,ObservedBrandAggregate,2022-09-01,279.42801835294097,298.4768981661637,300.906908994917
9,14,ObservedBrandAggregate,2022-10-01,274.3200281712213,283.4690599771342,258.79861369889227
9,14,ObservedBrandAggregate,2022-11-01,524.093709005212,535.3694496938984,547.3406612492729
9,14,ObservedBrandAggregate,2022-12-01,1336.8441466415356,1332.743011452441,1416.0492443222358
9,14,ObservedBrandAggregate,2023-01-01,666.5086872697455,698.4340697533132,623.783632822754
9,14,ObservedBrandAggregate,2023-02-01,257.2681973999724,284.7805192718998,290.6827726580015
9,14,ObservedBrandAggregate,2023-03-01,708.5407677636956,781.7282498813773,733.9754307999934
9,14,ObservedBrandAggregate,2023-04-01,215.56414486123847,210.2520383246537,188.20332973239906
9,14,ObservedBrandAggregate,2023-05-01,240.70135597217384,248.80172880227562,244.6911894914202
9,14,ObservedBrandAggregate,2023-06-01,247.70945456117468,243.21677800034806,274.5566115903536
9,14,ObservedBrandAggregate,2023-07-01,156.26145884721518,167.4993658609448,158.25941838162
9,14,ObservedBrandAggregate,2023-08-01,123.74077151689978,111.03578904281423,157.03816411759948
9,14,ObservedBrandAggregate,2023-09-01,232.0585639101102,249.1388391139778,230.40702403380828
9,14,ObservedBrandAggregate,2023-10-01,123.30195117893733,132.3600328349093,127.30915211003621
9,14,ObservedBrandAggregate,2023-11-01,172.7991799056444,138.17449304900202,183.64338827042442
9,14,ObservedBrandAggregate,2023-12-01,267.8883672519889,259.90498511894214,240.86505357308675
9,14,ObservedBrandAggregate,2024-01-01,221.5766610882164,215.90325399865947,230.8196201178287
9,14,ObservedBrandAggregate,2024-02-01,117.5114596325774,120.86705488987295,99.83316629118914
9,14,ObservedBrandAggregate,2024-03-01,86.92544794070969,96.60402602042926,99.91849284545029
9,14,ObservedBrandAggregate,2024-04-01,243.613605013019,245.31775371325006,261.619224311358
9,14,ObservedBrandAggregate,2024-05-01,186.7164090845474,203.42822969248354,205.92997226543812
9,14,ObservedBrandAggregate,2024-06-01,397.59344785789926,384.29819923216206,371.9398770721306
9,14,ObservedBrandAggregate,2024-07-01,157.0281909836552,153.31922774135023,161.5019113313483
9,14,ObservedBrandAggregate,2024-08-01,242.90460912938005,245.99390245849128,240.39569628176193
9,14,ObservedBrandAggregate,2024-09-01,233.51473648082703,252.82295476995972,240.66651042079016
9,14,ObservedBrandAggregate,2024-10-01,175.96588836902245,188.25537474366024,196.79863284002658
9,14,ObservedBrandAggregate,2024-11-01,153.98555537745213,147.35039043609498,128.34427567775123
9,14,ObservedBrandAggregate,2024-12-01,171.6982616879597,164.37357948004583,197.30079309715452
9,14,ObservedBrandAggregate,2025-01-01,283.60469035021276,280.76536264811307,283.7165155456243
9,14,ObservedBrandAggregate,2025-02-01,173.66637310205564,175.8308851957366,174.00480332331267
9,14,ObservedBrandAggregate,2025-03-01,147.21379884383032,159.7320723378397,160.9185812836665
9,14,ObservedBrandAggregate,2025-04-01,175.44206256276448,157.6063852907486,162.06834894165158
9,14,ObservedBrandAggregate,2025-05-01,268.5850875257085,252.03685234675027,266.4098912256793
9,14,ObservedBrandAggregate,2025-06-01,334.52474189210335,355.4885822377101,356.6896695421136
9,14,ObservedBrandAggregate,2025-07-01,162.25567159633576,155.7200070285198,138.71156769937105
9,14,ObservedBrandAggregate,2025-08-01,214.33871529523842,202.00273019251958,191.0266924563923
9,14,ObservedBrandAggregate,2025-09-01,300.76192880942745,292.4510528252603,317.9342721309123
9,14,ObservedBrandAggregate,2025-10-01,202.78290403113076,194.04746735074136,185.12722752201248
9,14,ObservedBrandAggregate,2025-11-01,476.1970473095738,506.57354556234793,504.7025493719051
9,14,ObservedBrandAggregate,2025-12-01,991.7281490467287,960.523525666832,1030.6130323421223
9,14,ObservedBrandAggregate,2026-01-01,549.9652976769793,554.9372871223497,568.7034261628913
9,14,ObservedBrandAggregate,2026-02-01,208.0851923757557,210.7572178165452,215.97098800062057
9,14,ObservedBrandAggregate,2026-03-01,383.79142315994784,386.76693561726006,363.99716931033726
10,5,ObservedBrandAggregate,2022-01-01,431.6721209931892,482.4243813235991,579.139888371083
10,5,ObservedBrandAggregate,2022-02-01,638.9273336245258,679.0649702261644,476.6340170318217
10,5,ObservedBrandAggregate,2022-03-01,378.76576835169664,532.2804351601651,964.87390725089
10,5,ObservedBrandAggregate,2022-04-01,277.26886525545234,258.86067038646195,243.50452984269077
10,5,ObservedBrandAggregate,2022-05-01,376.49331598130357,354.27675145716205,430.95039374163946
10,5,ObservedBrandAggregate,2022-06-01,620.3170270250323,532.2462579637488,621.0860696195253
10,5,ObservedBrandAggregate,2022-07-01,328.39791220894097,314.6213014178609,305.5820230064298
10,5,ObservedBrandAggregate,2022-08-01,386.1185877777833,385.2041919744626,392.91153694197345
10,5,ObservedBrandAggregate,2022-09-01,324.0756354438885,536.0244156829582,537.8890577802711
10,5,ObservedBrandAggregate,2022-10-01,531.9298412583595,508.6434487122506,497.6238375038415
10,5,ObservedBrandAggregate,2022-11-01,1298.5656720025295,1291.0642759253083,1286.3740784563088
10,5,ObservedBrandAggregate,2022-12-01,2144.5099671023077,2194.649768255576,2531.83823636844
10,5,ObservedBrandAggregate,2023-01-01,1007.1659554327944,665.4112213181752,729.3784026300074
10,5,ObservedBrandAggregate,2023-02-01,553.5567842413604,425.3443581668842,473.36389584221797
10,5,ObservedBrandAggregate,2023-03-01,1732.8999606143902,1497.7467302890932,1599.0565601987075
10,5,ObservedBrandAggregate,2023-04-01,200.72805673076948,186.45389516789015,240.8562570074526
10,5,ObservedBrandAggregate,2023-05-01,388.60806316828314,395.7579560279343,435.14869294393475
10,5,ObservedBrandAggregate,2023-06-01,647.2492386627431,670.933478277559,642.9147078609726
10,5,ObservedBrandAggregate,2023-07-01,306.700896957432,326.0944844326324,219.07211388522455
10,5,ObservedBrandAggregate,2023-08-01,167.30257053285501,261.8994690103627,165.9126216098877
10,5,ObservedBrandAggregate,2023-09-01,548.8180591376009,471.80046739810524,496.47413948496467
10,5,ObservedBrandAggregate,2023-10-01,232.88518002696492,262.11863901481064,289.70680270685773
10,5,ObservedBrandAggregate,2023-11-01,332.6539397537667,353.786068579387,445.3486641477715
10,5,ObservedBrandAggregate,2023-12-01,570.4545535591055,524.181027509497,428.16242857877785
10,5,ObservedBrandAggregate,2024-01-01,414.941115153445,397.5067181063249,420.36984188387197
10,5,ObservedBrandAggregate,2024-02-01,201.69989612450206,260.3933567960973,174.6344998063825
10,5,ObservedBrandAggregate,2024-03-01,147.3976968576378,446.8618453331621,250.2184247950541
10,5,ObservedBrandAggregate,2024-04-01,454.5646558584099,466.89825537301385,469.79545987182183
10,5,ObservedBrandAggregate,2024-05-01,350.3359423361323,369.3657872452821,418.4290507480101
10,5,ObservedBrandAggregate,2024-06-01,1003.3566982237928,982.189575681566,897.6661282609286
10,5,ObservedBrandAggregate,2024-07-01,256.9790809796071,253.8435331190467,261.1976724807667
