replicate,K,placebo,date,real_mae,placebo_mae,direct_mae
0,8,ShuffledResidual,2022-06-01,356.8913875357524,377.8999318045752,509.0640985202476
0,8,ShuffledResidual,2022-07-01,279.52559952614547,300.05149455342223,246.95414129471632
0,8,ShuffledResidual,2022-08-01,320.657036994625,331.2983910652454,357.61299594765376
0,8,ShuffledResidual,2022-09-01,402.0660850963766,239.16793463418716,400.34177163642494
0,8,ShuffledResidual,2022-10-01,339.8777633645026,408.93890653060146,385.78729955486926
0,8,ShuffledResidual,2022-11-01,816.2911364873013,851.2743908686621,843.0826892800106
0,8,ShuffledResidual,2022-12-01,1767.904556878199,1695.239992745952,1905.9096616972645
0,8,ShuffledResidual,2023-01-01,796.611144828077,830.3812203012855,648.5690482138932
0,8,ShuffledResidual,2023-02-01,274.4169598223024,419.4648215259055,363.46919384469663
0,8,ShuffledResidual,2023-03-01,987.7431701894594,1135.315372410654,1145.1938821494766
0,8,ShuffledResidual,2023-04-01,174.76281248684546,180.76204079113975,220.6790620141364
0,8,ShuffledResidual,2023-05-01,424.39660419290306,347.21591987378,382.0346175729089
0,8,ShuffledResidual,2023-06-01,232.67537239548935,301.3169048459453,388.7703582045334
0,8,ShuffledResidual,2023-07-01,177.36096617387864,278.188045024513,109.49368462358996
0,8,ShuffledResidual,2023-08-01,230.85268124779952,183.97776630758784,189.9964620287499
0,8,ShuffledResidual,2023-09-01,341.7879993442937,379.2275203861566,340.42417128517434
0,8,ShuffledResidual,2023-10-01,247.57491296336914,253.91275228358836,277.41601247750975
0,8,ShuffledResidual,2023-11-01,242.38823691306567,219.2707356763805,255.65505910667133
0,8,ShuffledResidual,2023-12-01,425.21315169048097,475.359877131454,453.837960600584
0,8,ShuffledResidual,2024-01-01,311.2590624100512,304.86887623689694,277.1124226632501
0,8,ShuffledResidual,2024-02-01,196.06127991092973,178.33963662840273,137.4500274124734
0,8,ShuffledResidual,2024-03-01,194.49366921807223,221.89857283264428,182.5802994851174
0,8,ShuffledResidual,2024-04-01,331.2192363547064,319.6744872812608,366.4321452940204
0,8,ShuffledResidual,2024-05-01,285.0936689317578,293.1254040489772,331.0563036000608
0,8,ShuffledResidual,2024-06-01,648.1961052392796,670.2928192004371,630.4690605972834
0,8,ShuffledResidual,2024-07-01,168.40109309428976,185.01786627751704,203.13783760069373
0,8,ShuffledResidual,2024-08-01,343.9323443281799,332.8525739070369,327.03105253636045
0,8,ShuffledResidual,2024-09-01,346.4390017579407,334.2784100347501,377.2220318363779
0,8,ShuffledResidual,2024-10-01,245.12471725013538,245.7849854909351,246.92725652449005
